CONG119,STATE,DISTRICT,TOTPOP20,NH White,NH Black plus NH Black and White,NH Asian plus NH Asian and White,NH American Indian plus NH American Indian and White,NH Pacific Islander plus NH Pacific Islander and White,NH Some Other Race plus NH Some Other Race and White,NH Other multiple-race,Hispanic,TOT_HOUS22_est,LESS_10K22_est,10K_15K22_est,15K_20K22_est,20K_25K22_est,25K_30K22_est,30K_35K22_est,35K_40K22_est,40K_45K22_est,45K_50K22_est,50K_60K22_est,60K_75K22_est,75K_100K22_est,100_125K22_est,125_150K22_est,150_200K22_est,200K_MOR22_est,Median_HH_Income_Est,BACH_PLUS_pct,FOREIGN_BORN_pct,ENG_LW_pct,Total_20_Pres_Votes_Est,G20PREDBID_pct,G20PRELJOR_pct,G20PRERTRU_pct
CO-02,CO,02,721720,0.7609,0.0143,0.0473,0.0145,0.0015,0.0163,0.003,0.1423,290640.56,13818.41,7269.73,7220.2,7981.95,7851.57,8014.46,7640.41,8571.09,8973.55,17175.9,23712.66,34870.94,30030.71,24089.63,32604.64,50814.71,75K_100K,0.5784,0.1001,0.0364,441622.42,0.6938,0.0152,0.2909
CO-03,CO,03,721730,0.6673,0.0122,0.0127,0.0305,0.0014,0.0158,0.0029,0.2574,292900.39,14898.89,12247.0,12961.21,12272.9,12998.06,12344.32,11703.47,11813.45,11481.11,23125.44,30552.48,38860.42,28077.2,19292.17,19563.48,20708.78,60K_75K,0.3159,0.0627,0.0381,407756.27,0.4517,0.0132,0.5351
CO-04,CO,04,721794,0.7576,0.0229,0.0459,0.0175,0.0016,0.0142,0.0038,0.1364,270263.22,7938.39,5069.96,5258.41,5918.66,6171.62,6442.16,6807.69,6663.4,6571.41,13390.29,20229.12,34303.96,30941.44,26236.01,36903.72,51416.98,100_125K,0.4619,0.0808,0.03,438137.17,0.3984,0.016,0.5856
CO-05,CO,05,721714,0.656,0.07,0.0441,0.0209,0.0052,0.0152,0.0097,0.1789,273274.9,10035.01,6649.47,6926.06,7322.88,8931.1,8429.87,9258.5,9409.77,8525.48,19236.65,28611.22,38696.41,30400.63,22733.02,27905.62,30203.21,75K_100K,0.4029,0.0947,0.033,368645.23,0.4364,0.0248,0.5388
CO-06,CO,06,721681,0.5583,0.1114,0.0712,0.0136,0.0032,0.0136,0.0078,0.2209,276075.94,9444.49,6598.07,5315.5,6819.54,7022.36,7198.76,8015.94,8337.26,9233.53,18718.53,25844.96,36556.29,31794.31,22949.04,30871.24,41356.13,75K_100K,0.4389,0.1738,0.0957,379511.05,0.6127,0.0153,0.3721
CO-07,CO,07,721697,0.7489,0.0181,0.0408,0.0199,0.0015,0.0165,0.0031,0.1513,296244.39,9351.39,6666.91,5910.1,8061.24,7687.25,7764.47,8405.08,8777.24,8203.26,18579.42,26106.77,38163.25,33432.7,26196.42,36211.08,46727.82,75K_100K,0.4668,0.0738,0.0273,454919.66,0.5631,0.0171,0.4198
CO-08,CO,08,721664,0.5172,0.0229,0.0406,0.0167,0.0016,0.0121,0.0035,0.3854,252473.22,8395.03,6093.93,6220.86,6164.94,7134.86,7614.82,8510.79,7668.64,8583.6,17570.67,23677.73,37975.97,29401.68,25282.75,27041.58,25135.36,75K_100K,0.2796,0.1375,0.0917,337620.49,0.5146,0.0169,0.4685
CT-01,CT,01,721189,0.5704,0.1583,0.0645,0.0073,0.0004,0.0143,0.007,0.1778,292280.6,14747.31,11575.43,8494.68,9010.57,8819.74,9726.76,8019.05,8324.04,9885.79,18538.75,23991.23,37853.97,30484.64,22898.43,32638.55,37271.68,75K_100K,0.3844,0.1648,0.0833,358466.24,0.6356,0.0108,0.3536
CT-02,CT,02,721188,0.7802,0.0461,0.0437,0.0154,0.0008,0.0148,0.0059,0.093,285916.02,10441.29,7920.0,7469.69,7767.25,8991.2,8033.53,7380.78,8518.22,8755.21,15997.01,24967.02,36947.82,32780.88,24195.09,32839.16,42911.88,75K_100K,0.3845,0.0808,0.0387,389590.62,0.5501,0.0151,0.4348
CT-03,CT,03,721189,0.6071,0.1435,0.0527,0.0068,0.0005,0.0148,0.0064,0.1681,285994.9,13169.48,10194.61,8412.39,9624.98,8353.81,9151.7,9244.7,9205.58,8287.23,16662.1,24544.72,35560.61,28624.14,23977.02,31263.56,39718.28,75K_100K,0.3936,0.1449,0.0782,358297.77,0.5948,0.0084,0.3968
CT-04,CT,04,721189,0.5692,0.1201,0.0636,0.0036,0.0003,0.0216,0.0054,0.2162,263578.71,10497.37,8329.38,6709.94,6841.29,6921.48,6070.86,7313.66,6834.38,6093.55,12514.41,18043.65,25242.02,22731.61,16162.28,27878.91,75393.93,100_125K,0.5301,0.2473,0.1264,353631.1,0.6516,0.0101,0.3383
CT-05,CT,05,721189,0.6334,0.0752,0.0438,0.0076,0.0004,0.0249,0.0055,0.2092,282036.76,11817.55,10062.58,8759.3,10995.91,9414.78,8545.15,9542.82,8575.79,9750.22,17694.73,22592.38,33251.58,26719.73,21943.18,28237.82,44133.23,75K_100K,0.3794,0.165,0.0955,355793.2,0.5485,0.0109,0.4406
DE-AT-LARGE,DE,AT-LARGE,989948,0.5857,0.2288,0.0482,0.0116,0.0006,0.0114,0.0083,0.1053,389000.0,16749.0,12173.0,10775.0,12267.0,13820.0,13903.0,14294.0,13700.0,13210.0,27203.0,36164.0,54374.0,40249.0,30916.0,39006.0,40197.0,75K_100K,0.3446,0.1065,0.0506,501869.19,0.5903,0.01,0.3997
FL-01,FL,01,769221,0.6941,0.1401,0.0394,0.0252,0.0025,0.0135,0.0079,0.0773,300133.36,12671.93,10595.33,9404.05,10265.72,11501.28,12466.94,12467.67,11775.8,11910.19,23246.16,31412.45,41495.61,31337.52,21750.09,22959.7,24872.93,60K_75K,0.3048,0.0812,0.0295,420803.98,0.3308,0.014,0.6551
FL-02,FL,02,769221,0.6328,0.2355,0.0267,0.0187,0.001,0.0092,0.0054,0.0706,302144.63,19695.76,13193.14,14156.26,14308.59,14031.72,13367.13,13169.26,12397.2,14883.5,24912.78,29078.87,39441.34,25540.94,17394.77,17214.3,19359.07,50K_60K,0.296,0.0699,0.027,409057.58,0.4414,0.0077,0.5509
FL-03,FL,03,769221,0.6505,0.1645,0.0367,0.0147,0.0006,0.0117,0.005,0.1162,295315.77,21412.05,15126.72,13265.47,14732.23,15748.69,13131.06,14035.94,13910.75,14263.88,23703.77,28440.34,34249.29,23683.24,15619.92,17218.96,16773.44,50K_60K,0.2764,0.0889,0.0352,391892.25,0.4254,0.0073,0.5673
FL-04,FL,04,769221,0.5212,0.3234,0.032,0.0147,0.0015,0.0113,0.0083,0.0876,294721.39,17001.04,12538.89,10106.24,11751.58,13554.53,11879.91,12102.93,12218.2,11737.06,23109.46,29622.96,39793.66,29001.6,20389.49,21229.39,18684.46,60K_75K,0.2502,0.0788,0.0335,398820.51,0.4617,0.0094,0.5288
FL-05,FL,05,769221,0.6467,0.1256,0.0711,0.0124,0.0015,0.0154,0.0067,0.1206,302297.94,12106.47,6687.67,7644.16,9422.75,9401.41,10409.78,9387.53,10960.57,12666.71,21419.32,29635.82,40062.4,31964.04,21731.74,29847.13,38950.46,75K_100K,0.4373,0.1511,0.0643,425315.98,0.4159,0.0097,0.5743
FL-06,FL,06,769221,0.7132,0.1189,0.0193,0.016,0.0009,0.0124,0.0045,0.1149,322824.07,18165.9,13225.29,14495.51,15217.96,15807.26,15634.63,16316.34,15060.11,13609.61,26287.63,35494.09,41449.89,29162.63,16723.91,18513.2,17660.13,50K_60K,0.2369,0.0881,0.0412,425671.78,0.3782,0.0063,0.6155
FL-07,FL,07,769221,0.6147,0.0976,0.0464,0.0127,0.0009,0.0142,0.006,0.2075,307865.05,11906.74,8299.29,9256.14,10626.99,12128.19,12472.24,11428.47,12197.98,11457.98,23777.3,31576.9,44735.28,31652.63,24195.33,24596.3,27557.27,60K_75K,0.3524,0.1415,0.0575,431488.38,0.4683,0.0079,0.5239
FL-08,FL,08,769221,0.7155,0.1008,0.0307,0.0153,0.0012,0.0148,0.0056,0.116,313116.62,12543.16,10279.26,11119.87,12959.3,12895.08,12164.21,12758.86,12981.59,12570.29,23665.88,32965.72,42285.65,29952.27,21851.83,24753.63,27370.03,60K_75K,0.3286,0.1106,0.0357,458327.62,0.4075,0.0081,0.5844
FL-09,FL,09,769221,0.3003,0.0996,0.0462,0.0064,0.0011,0.0212,0.0074,0.5178,244356.01,9307.31,8046.41,7971.05,9542.01,9480.04,10146.4,10185.82,10602.11,11339.0,20455.4,27521.86,36400.99,24065.99,15839.49,16735.78,16716.34,60K_75K,0.3135,0.2613,0.2074,339545.23,0.5845,0.006,0.4095
FL-10,FL,10,769221,0.3548,0.2504,0.054,0.0071,0.001,0.0244,0.0093,0.299,276025.5,17414.09,9557.03,9657.52,11236.46,12199.27,11799.94,10950.6,10822.79,11541.96,21845.64,26859.72,37202.86,27127.56,17226.53,17535.83,23047.69,60K_75K,0.3573,0.2271,0.1315,333931.77,0.6557,0.0077,0.3366
FL-11,FL,11,769221,0.5938,0.1252,0.0446,0.0114,0.0009,0.024,0.0069,0.1931,292190.34,10024.58,6765.94,8087.39,9712.21,11239.99,11840.95,10659.11,11451.35,11647.97,23034.62,28802.14,41102.8,32646.45,21637.81,25276.92,28260.1,75K_100K,0.3356,0.1685,0.0761,425515.67,0.4425,0.0061,0.5515
FL-12,FL,12,769221,0.7526,0.0522,0.0247,0.0169,0.0009,0.0131,0.0041,0.1356,312543.81,16088.36,14630.33,13222.78,14926.68,14989.65,15113.76,14939.9,12800.47,15479.99,27380.02,30991.07,41615.88,27429.15,17177.1,19059.23,16699.45,50K_60K,0.2296,0.0967,0.041,426900.43,0.3525,0.0069,0.6406
FL-13,FL,13,769221,0.7398,0.075,0.0417,0.013,0.0013,0.0139,0.0043,0.1109,332712.75,18016.14,12065.84,12368.36,15129.09,13605.74,13473.57,13982.7,13356.54,14326.08,26783.5,31323.99,41623.69,32292.78,20087.57,25473.49,28803.67,60K_75K,0.3345,0.1361,0.0568,449457.24,0.4624,0.0073,0.5303
FL-14,FL,14,769221,0.4639,0.1863,0.0482,0.0086,0.0008,0.0141,0.0065,0.2715,320400.51,19216.06,12344.7,11208.08,11892.91,13120.27,13499.55,12562.66,12721.96,12551.61,23075.14,31589.42,40315.43,27245.86,19582.93,22802.03,36671.87,60K_75K,0.3938,0.2029,0.1223,390847.41,0.5921,0.0083,0.3997
FL-15,FL,15,769221,0.5109,0.1474,0.0586,0.0114,0.0009,0.013,0.0062,0.2516,294127.8,15905.71,9916.18,11141.31,12110.78,13656.27,12755.89,11912.89,12743.28,12283.22,22606.69,30318.67,37617.87,25982.39,18416.78,23404.39,23355.5,60K_75K,0.3194,0.1765,0.0981,366853.35,0.4803,0.0078,0.5119
FL-16,FL,16,769221,0.5983,0.1203,0.0348,0.0112,0.001,0.0129,0.0054,0.216,295151.38,11999.47,8027.14,8215.61,10355.43,10104.92,10518.66,11626.89,12254.93,11763.07,21509.42,29010.6,40301.87,32879.24,21913.74,26787.6,27882.77,75K_100K,0.3354,0.1472,0.0689,408180.76,0.4519,0.0071,0.541
FL-17,FL,17,769221,0.7554,0.0585,0.0203,0.011,0.0006,0.0134,0.0032,0.1377,339719.04,14940.39,10544.63,12387.34,13339.37,13110.04,13412.65,13351.54,12647.31,14819.73,26935.93,37012.36,47775.37,33962.7,22691.85,22642.37,30145.45,60K_75K,0.3139,0.1432,0.0613,449116.2,0.4174,0.0054,0.5773
FL-18,FL,18,769221,0.553,0.1314,0.0181,0.0127,0.0006,0.0102,0.0041,0.2699,284782.68,16760.99,12769.88,12455.56,14860.59,14476.01,16052.51,14039.91,12743.74,13358.93,23635.71,30328.21,37641.71,22661.26,15055.83,14399.97,13541.87,50K_60K,0.1883,0.1343,0.1008,348968.41,0.3823,0.0066,0.6111
FL-19,FL,19,769221,0.6974,0.0644,0.0221,0.0081,0.0005,0.0137,0.0031,0.1906,331400.46,16403.84,9017.53,9863.33,11156.55,13663.77,11652.98,12570.49,12111.79,10686.42,27032.38,31839.49,44150.76,32820.75,22662.99,24436.26,41331.13,60K_75K,0.3632,0.1771,0.0859,432217.56,0.3922,0.0049,0.6029
FL-20,FL,20,769221,0.2062,0.5006,0.0266,0.0034,0.0005,0.0158,0.0115,0.2354,280378.47,16916.15,14713.02,12772.88,13672.62,13755.67,13335.93,11695.42,12968.02,13044.09,22699.72,30460.63,35510.73,26139.51,14917.97,15463.67,12312.45,50K_60K,0.2483,0.3674,0.1612,332045.48,0.761,0.0031,0.2359
FL-21,FL,21,769221,0.6393,0.129,0.0267,0.0091,0.0007,0.0147,0.0054,0.1751,310543.05,14645.8,8591.68,9935.27,10935.34,12312.92,11026.29,11406.13,10488.99,11428.24,22238.46,30008.42,41088.82,30908.75,23865.65,24971.42,36690.87,75K_100K,0.3475,0.1697,0.0659,441871.47,0.4505,0.0044,0.5451
FL-22,FL,22,769220,0.5066,0.1629,0.0319,0.0047,0.0006,0.0155,0.0052,0.2727,303824.26,14717.78,9030.39,9993.8,12021.07,12133.29,12758.16,11090.65,12215.83,10736.98,22353.6,26950.82,39920.53,29788.08,20790.74,22918.55,36403.96,60K_75K,0.3608,0.3137,0.1717,392169.28,0.5863,0.0039,0.4097
FL-23,FL,23,769221,0.5517,0.1305,0.042,0.0051,0.0006,0.0437,0.0073,0.2192,321454.88,15538.51,9561.9,10978.82,10533.98,11587.07,11386.03,10806.6,10923.58,11565.18,22173.78,29296.98,39227.55,30578.39,21745.3,29033.4,46517.82,75K_100K,0.4395,0.2944,0.1216,411420.03,0.5643,0.0036,0.4321
FL-24,FL,24,769221,0.1762,0.404,0.0173,0.0018,0.0002,0.0178,0.0072,0.3754,288290.72,19654.19,15679.01,11973.21,16337.82,13769.69,14040.8,13352.6,10822.96,12897.05,22031.77,28370.22,37135.71,21172.95,13378.9,15844.89,21828.94,50K_60K,0.2972,0.4653,0.2433,329616.75,0.7447,0.0026,0.2527
FL-25,FL,25,769221,0.3254,0.1573,0.0545,0.0042,0.0005,0.0183,0.0086,0.4311,282532.92,17038.65,8732.63,8044.18,8230.72,10211.38,9394.29,9864.04,9888.49,10755.91,19344.23,24171.63,35326.5,29145.13,20082.61,27588.2,34714.34,75K_100K,0.3963,0.3897,0.1817,383742.83,0.5982,0.0033,0.3985
FL-26,FL,26,769221,0.194,0.0501,0.0126,0.0024,0.0002,0.0093,0.002,0.7296,269000.57,13690.15,14551.26,10891.68,11354.6,11505.38,12868.09,10411.79,10424.16,10717.57,20264.64,26694.23,35119.28,25246.89,15905.56,19822.02,19533.27,60K_75K,0.2831,0.5712,0.3856,312039.0,0.4066,0.0032,0.5902
FL-27,FL,27,769221,0.1717,0.0511,0.0217,0.0015,0.0002,0.0145,0.003,0.7363,288849.13,15697.0,15936.67,11966.59,11086.09,10885.58,10620.96,10502.24,9607.24,9517.09,19168.3,23534.48,32333.92,24432.76,17475.12,23394.26,42690.84,60K_75K,0.4118,0.5626,0.3331,358479.86,0.4967,0.0033,0.4999
FL-28,FL,28,769221,0.1508,0.0891,0.0175,0.0025,0.0003,0.0088,0.0036,0.7273,246737.88,13228.78,9603.24,8300.52,9993.55,9062.89,9769.68,8805.03,8690.26,8238.68,17700.76,24001.9,34334.61,25737.54,18063.45,21792.13,19414.87,60K_75K,0.2933,0.4939,0.3018,341801.78,0.4665,0.0034,0.5301
GA-01,GA,01,765137,0.5759,0.2877,0.0272,0.0138,0.0021,0.0089,0.0069,0.0775,289455.21,17050.13,12047.92,11489.52,13014.0,14754.0,11468.01,12539.79,10969.27,11749.82,23473.05,28646.94,38715.1,26383.33,19397.08,19619.61,18137.64,60K_75K,0.2743,0.0667,0.0275,338527.26,0.4264,0.0134,0.5602
GA-02,GA,02,765137,0.3994,0.5011,0.0165,0.0094,0.0013,0.0058,0.007,0.0595,285389.96,26026.21,20107.65,15484.07,16798.97,14547.87,15216.49,13309.15,11619.11,12890.46,20970.52,27314.35,31999.03,22039.91,13753.11,12636.04,10677.02,45K_50K,0.2082,0.046,0.0214,317601.92,0.5474,0.009,0.4436
GA-03,GA,03,765136,0.6437,0.2372,0.0253,0.0155,0.0007,0.0093,0.0052,0.0631,280537.16,13826.38,9978.88,10729.58,10620.86,9443.53,9962.51,10157.91,10368.06,9508.67,19669.69,27133.65,39935.93,28661.27,20356.57,23668.9,26514.78,60K_75K,0.2791,0.0609,0.0249,385137.13,0.3433,0.0122,0.6444
GA-04,GA,04,765137,0.1971,0.4839,0.1008,0.0044,0.0005,0.0089,0.0119,0.1925,277835.24,13443.68,8362.29,9441.06,10583.64,12659.16,13106.56,12745.33,11650.36,12415.22,22046.92,27861.63,36307.16,24241.56,16290.5,20577.68,26102.48,60K_75K,0.3862,0.2386,0.14,317452.14,0.783,0.0112,0.2058
GA-05,GA,05,765137,0.3102,0.5077,0.0576,0.0055,0.0005,0.0095,0.0102,0.0989,320479.41,22895.22,15278.69,12519.94,12450.76,12383.73,12987.15,10774.57,11907.48,11644.89,20643.0,27077.26,36981.51,28064.3,19745.58,24528.35,40596.97,60K_75K,0.4774,0.1201,0.057,347640.29,0.8577,0.0122,0.1302
GA-06,GA,06,765136,0.2978,0.513,0.038,0.006,0.0006,0.0103,0.0109,0.1234,312579.5,13475.65,8178.13,7960.13,9088.01,9599.88,10187.23,10818.62,9831.45,11491.77,23412.92,29545.69,44311.46,30435.97,23518.91,27847.03,42876.66,75K_100K,0.466,0.132,0.056,367515.37,0.7415,0.0117,0.2468
GA-07,GA,07,765137,0.6372,0.0847,0.1441,0.0119,0.0007,0.0139,0.0052,0.1024,279282.88,7351.44,3930.7,4580.73,6179.12,5455.13,5470.91,5765.09,7195.79,6850.78,13919.9,19792.47,33311.42,27421.22,24541.17,37655.04,69861.98,100_125K,0.5711,0.2003,0.0637,407623.92,0.3968,0.0143,0.5888
GA-08,GA,08,765136,0.5791,0.307,0.0191,0.0113,0.0007,0.0063,0.0047,0.0717,278727.64,21704.02,14338.34,14423.61,13570.47,13665.56,14041.05,11097.23,11041.79,9813.93,20753.25,27026.25,35025.71,25184.56,15165.65,17186.22,14690.02,50K_60K,0.2244,0.0529,0.0296,330397.77,0.3567,0.0103,0.633
GA-09,GA,09,765135,0.6091,0.1273,0.0727,0.0148,0.0006,0.009,0.0051,0.1614,265521.98,10921.14,8287.62,8710.34,8752.57,10201.41,9493.97,8888.39,9716.32,9625.81,19342.4,25634.21,35896.61,27819.98,21490.09,23256.13,27484.98,75K_100K,0.3141,0.1631,0.094,365495.8,0.332,0.0132,0.6548
GA-10,GA,10,765137,0.6248,0.2432,0.0268,0.0138,0.0006,0.0093,0.0054,0.0761,277216.15,14625.94,10247.82,9801.76,10682.44,11091.29,11103.13,10784.44,11085.75,11075.12,20011.73,27077.21,38953.35,27161.79,20249.46,22573.85,20691.07,60K_75K,0.2845,0.0714,0.0319,376509.96,0.3874,0.0125,0.6001
GA-11,GA,11,765135,0.6668,0.1243,0.0483,0.0154,0.0007,0.0171,0.0058,0.1215,280771.17,11105.05,6928.46,6841.39,8048.71,8587.06,8531.56,8577.95,8910.25,8880.99,16800.22,25046.35,35405.42,31952.57,23582.34,30654.9,40917.95,75K_100K,0.4086,0.1286,0.0604,390360.85,0.382,0.0167,0.6013
GA-12,GA,12,765136,0.5213,0.3729,0.0231,0.0114,0.0015,0.0067,0.0069,0.0563,268824.15,18388.18,15536.17,14142.96,14335.83,13774.0,11886.06,11351.79,10749.03,11065.62,19728.82,26323.86,31651.7,24299.12,14346.55,16050.01,15194.43,50K_60K,0.2336,0.0529,0.0221,340923.1,0.4433,0.0119,0.5448
GA-13,GA,13,765136,0.2458,0.5076,0.0725,0.0069,0.0007,0.0093,0.0123,0.1448,258151.54,9664.6,5625.76,6641.32,7238.1,10081.67,9712.98,9091.41,9210.87,10038.97,20266.59,28207.47,40199.01,28414.81,21821.24,23059.36,18877.39,75K_100K,0.3075,0.1854,0.0915,356816.78,0.6974,0.0106,0.292
GA-14,GA,14,765136,0.6999,0.1289,0.0189,0.0181,0.0007,0.0096,0.0045,0.1194,271718.01,10714.37,9588.56,9714.59,10619.51,10113.7,11327.38,11614.36,11287.48,9931.95,21319.98,25116.67,38674.59,28003.61,20964.74,21255.89,21470.63,60K_75K,0.2593,0.0877,0.0453,356478.12,0.3055,0.0136,0.6809
HI-01,HI,01,726395,0.1477,0.0213,0.5472,0.0051,0.0924,0.0053,0.1033,0.0776,249707.84,9963.95,5947.94,4932.99,6449.92,5542.98,6173.96,6589.99,7072.99,7394.97,13601.89,20471.89,32256.88,27876.83,22227.91,30840.81,42361.94,75K_100K,0.3795,0.2599,0.1449,277282.93,0.6443,0.0082,0.3475
HI-02,HI,02,728876,0.2841,0.0155,0.2734,0.0111,0.1548,0.0093,0.1387,0.1132,234198.16,10582.05,6655.06,5491.01,6809.08,6419.02,6938.04,6479.01,6880.01,6763.03,14101.11,19967.11,30536.12,25999.17,20143.09,25916.19,34519.06,75K_100K,0.3135,0.1507,0.0757,291249.39,0.6437,0.0112,0.3451
IA-01,IA,01,797584,0.8338,0.0558,0.0269,0.0128,0.0009,0.0106,0.003,0.0563,322221.0,15228.0,12502.0,11269.0,11983.0,13062.0,13007.0,12917.0,12299.0,13015.0,25742.0,31610.0,43230.0,35028.0,23823.0,24694.0,22812.0,60K_75K,0.3149,0.0533,0.0256,424290.0,0.4794,0.0121,0.5085
IA-02,IA,02,797589,0.8593,0.0573,0.019,0.0123,0.0033,0.0084,0.0027,0.0376,327250.0,12637.0,11936.0,12088.0,13089.0,12416.0,13557.0,13572.0,12882.0,13663.0,25418.0,33798.0,48678.0,34973.0,23486.0,23182.0,21875.0,60K_75K,0.2832,0.0425,0.0222,430632.69,0.472,0.0118,0.5162
IA-03,IA,03,797551,0.7884,0.0594,0.0444,0.0112,0.0016,0.0107,0.0035,0.0809,322156.0,11828.0,10532.0,10222.0,10468.0,10917.0,11820.0,12170.0,12210.0,13080.0,23509.0,31986.0,45770.0,34684.0,24424.0,29379.0,29157.0,75K_100K,0.3541,0.0851,0.0473,417715.72,0.4922,0.0122,0.4957
IA-04,IA,04,797645,0.8261,0.0268,0.0223,0.0136,0.0025,0.0088,0.0037,0.096,318512.0,13851.0,11884.0,14080.0,12852.0,12307.0,13663.0,11704.0,12387.0,13125.0,25027.0,34050.0,46239.0,35359.0,22813.0,21263.0,17908.0,60K_75K,0.258,0.0651,0.0433,403724.99,0.3637,0.0107,0.6256
ID-01,ID,01,919553,0.8003,0.0095,0.0198,0.0294,0.0031,0.0166,0.003,0.1183,340749.34,12492.21,10462.21,10954.66,12816.27,12045.97,13736.78,12552.83,12910.74,14451.43,27112.2,38643.32,51822.39,36630.96,25750.09,23825.07,24542.21,60K_75K,0.2826,0.0573,0.0305,442867.83,0.2982,0.0179,0.6839
ID-02,ID,02,919553,0.7771,0.0144,0.0248,0.0232,0.0033,0.0123,0.0029,0.1421,334573.66,12367.79,12143.79,11778.34,13383.73,13730.03,13633.22,13641.17,13641.26,13763.57,28532.8,35109.68,48883.61,32168.04,23175.91,24190.93,24429.79,60K_75K,0.3231,0.076,0.0415,414675.94,0.3736,0.0205,0.6059
IL-01,IL,01,753677,0.3606,0.5041,0.0233,0.0051,0.0003,0.0073,0.0071,0.0921,294893.2,24771.22,15606.92,10743.89,11244.37,11923.11,11465.31,10345.46,9161.16,8716.6,19524.44,24263.35,35830.45,26814.03,21326.17,26335.63,26821.09,60K_75K,0.3183,0.0759,0.0354,366989.25,0.7102,0.0065,0.2833
IL-02,IL,02,753677,0.3333,0.4807,0.0109,0.0069,0.0003,0.0073,0.0078,0.1527,293765.84,23314.19,14233.81,13201.54,12301.56,13673.45,13803.29,12135.73,12114.85,12126.65,22509.32,29086.13,36404.73,27448.16,17076.73,19688.34,14647.34,50K_60K,0.2374,0.0773,0.0485,332237.05,0.6981,0.007,0.295
IL-03,IL,03,753677,0.3908,0.0507,0.0684,0.0047,0.0003,0.0082,0.0034,0.4735,267988.59,10993.96,8414.57,6917.34,8753.74,9829.37,9006.52,8565.14,8485.49,9038.9,17958.11,23698.9,37448.86,28100.5,20378.57,27910.83,32487.8,75K_100K,0.3549,0.2858,0.21,294505.27,0.7049,0.0092,0.286
IL-04,IL,04,753677,0.2341,0.0477,0.0426,0.003,0.0003,0.0053,0.0023,0.6647,241908.55,11160.59,7036.3,7672.2,12205.1,13038.93,11048.63,9430.2,9281.77,9496.08,17031.85,23203.06,29549.0,24053.82,16151.01,19687.3,21862.72,60K_75K,0.2337,0.319,0.2694,239844.18,0.7309,0.0076,0.2616
IL-05,IL,05,753677,0.7133,0.0293,0.1211,0.0049,0.0004,0.0108,0.0031,0.1172,328657.25,13036.07,6858.1,6484.45,7821.16,6786.16,7682.42,7474.58,7561.65,7389.79,16011.61,23929.65,38413.56,32827.7,27062.36,39162.25,80155.71,100_125K,0.6444,0.2102,0.0961,399163.57,0.6945,0.0114,0.2941
IL-06,IL,06,753677,0.7205,0.0579,0.0666,0.0061,0.0003,0.0097,0.0027,0.1363,293032.61,11053.47,5879.54,6560.22,7365.83,7959.08,8567.48,8438.2,8149.38,9908.12,17705.91,24695.47,37472.43,31499.73,26275.37,34151.67,47350.72,75K_100K,0.4341,0.1669,0.0826,393845.59,0.5494,0.0109,0.4397
IL-07,IL,07,753677,0.2948,0.4356,0.0938,0.0032,0.0003,0.0084,0.0066,0.1573,320035.28,26097.26,19402.18,12576.81,13438.16,11778.11,9510.19,9426.06,9635.44,9371.1,16866.92,21151.4,35013.29,27836.33,19327.0,28273.73,50331.3,75K_100K,0.4598,0.1462,0.0786,318340.62,0.8635,0.0074,0.129
IL-08,IL,08,753677,0.5443,0.0478,0.1519,0.0059,0.0004,0.0089,0.0032,0.2377,278682.48,8795.54,5429.04,5489.44,6877.01,7266.75,7321.38,7038.69,8301.82,8294.99,17805.05,24853.94,39795.4,36504.95,26684.35,33548.36,34675.79,75K_100K,0.3895,0.2756,0.1471,331033.96,0.5722,0.0108,0.4169
IL-09,IL,09,753677,0.5923,0.0925,0.1621,0.0054,0.0004,0.0118,0.0054,0.1301,304273.05,14192.49,10603.88,7980.03,8654.02,9464.91,8906.81,8855.61,8952.83,9710.29,18588.03,24866.44,37846.3,27731.94,23477.28,31881.23,52560.96,75K_100K,0.548,0.2721,0.1286,377420.48,0.7041,0.0088,0.2872
IL-10,IL,10,753677,0.5789,0.0689,0.0889,0.0068,0.0007,0.0121,0.0039,0.2397,272531.4,9299.42,5662.26,6023.58,7416.83,6882.66,7787.06,7021.21,6922.96,8098.44,14858.76,20800.42,33468.44,28083.22,22167.7,29269.14,58769.31,100_125K,0.4658,0.1981,0.1032,353063.75,0.6241,0.0122,0.3637
IL-11,IL,11,753677,0.6298,0.0661,0.0924,0.0078,0.0005,0.0116,0.003,0.1889,276045.91,8899.58,4808.07,5481.3,5922.98,6343.09,7151.62,7164.53,6718.96,7723.86,14934.89,23389.16,35466.88,30051.03,26384.4,35477.49,50128.07,100_125K,0.4428,0.164,0.0778,377370.81,0.5706,0.013,0.4164
IL-12,IL,12,753677,0.8686,0.0577,0.0137,0.0181,0.0006,0.0102,0.003,0.0281,301397.62,15657.63,13977.37,12532.5,14849.61,13284.15,11916.79,12369.3,11769.07,12207.5,23868.24,28888.49,40604.8,29632.58,20052.57,21907.37,17879.66,60K_75K,0.2381,0.0255,0.0119,380923.78,0.2788,0.0119,0.7093
IL-13,IL,13,753677,0.645,0.2241,0.049,0.0146,0.0009,0.0111,0.006,0.0494,312588.14,25657.29,14004.66,12176.47,14676.97,15068.78,12191.11,13295.81,12272.15,12820.88,24391.83,31099.1,40017.4,26511.78,18796.95,20222.47,19384.48,50K_60K,0.3085,0.0624,0.0259,355468.64,0.5497,0.0139,0.4364
